part_number,part_type,description,rated_voltage_v,min_temp_c,max_temp_c,lifecycle
X120-G048-6FBA,sensor_interface_g048-6fba,Low-voltage sensor interface G048-6FBA,12,-20,70,active
X130-G048-6FBA,sensor_interface_g048-6fba,Indoor sensor interface G048-6FBA,24,0,60,active
X140-G048-6FBA,sensor_interface_g048-6fba,Extended-temperature interface G048-6FBA,24,-40,105,active
X150-G048-6FBA,sensor_interface_g048-6fba,High-voltage sensor interface G048-6FBA,48,-20,80,active
X160-G048-6FBA,sensor_interface_g048-6fba,Legacy sealed sensor interface G048-6FBA,24,-20,75,discontinued
X170-G048-6FBA,sensor_interface_g048-6fba,Logic-level sensor interface G048-6FBA,5,-10,50,active
X180-G048-6FBA,sensor_interface_g048-6fba,Standard sensor interface G048-6FBA,24,-20,80,active
R200-G048-6FBA,power_relay_g048-6fba,Standard power relay G048-6FBA,24,-20,70,active
R210-G048-6FBA,power_relay_g048-6fba,Vibration-rated power relay G048-6FBA,24,-40,85,active
C300-G048-6FBA,connector_g048-6fba,Five-volt keyed connector G048-6FBA,5,-20,70,active
X100-G049-B19A,sensor_interface_g049-b19a,Field sensor interface G049-B19A,24,-20,80,active
X110-G049-B19A,sensor_interface_g049-b19a,Coated sensor interface G049-B19A,24,-30,85,active
X120-G049-B19A,sensor_interface_g049-b19a,Low-voltage sensor interface G049-B19A,12,-20,70,active
X130-G049-B19A,sensor_interface_g049-b19a,Indoor sensor interface G049-B19A,24,0,60,active
X140-G049-B19A,sensor_interface_g049-b19a,Extended-temperature interface G049-B19A,24,-40,105,active
X150-G049-B19A,sensor_interface_g049-b19a,High-voltage sensor interface G049-B19A,48,-20,80,active
X160-G049-B19A,sensor_interface_g049-b19a,Legacy sealed sensor interface G049-B19A,24,-20,75,discontinued
X170-G049-B19A,sensor_interface_g049-b19a,Logic-level sensor interface G049-B19A,5,-10,50,active
X180-G049-B19A,sensor_interface_g049-b19a,Standard sensor interface G049-B19A,24,-20,80,active
R200-G049-B19A,power_relay_g049-b19a,Standard power relay G049-B19A,24,-20,70,active
R210-G049-B19A,power_relay_g049-b19a,Vibration-rated power relay G049-B19A,24,-40,85,active
C300-G049-B19A,connector_g049-b19a,Five-volt keyed connector G049-B19A,5,-20,70,active
X100-G050-9778,sensor_interface_g050-9778,Field sensor interface G050-9778,24,-20,80,active
X110-G050-9778,sensor_interface_g050-9778,Coated sensor interface G050-9778,24,-30,85,active
X120-G050-9778,sensor_interface_g050-9778,Low-voltage sensor interface G050-9778,12,-20,70,active
X130-G050-9778,sensor_interface_g050-9778,Indoor sensor interface G050-9778,24,0,60,active
X140-G050-9778,sensor_interface_g050-9778,Extended-temperature interface G050-9778,24,-40,105,active
X150-G050-9778,sensor_interface_g050-9778,High-voltage sensor interface G050-9778,48,-20,80,active
X160-G050-9778,sensor_interface_g050-9778,Legacy sealed sensor interface G050-9778,24,-20,75,discontinued
X170-G050-9778,sensor_interface_g050-9778,Logic-level sensor interface G050-9778,5,-10,50,active
X180-G050-9778,sensor_interface_g050-9778,Standard sensor interface G050-9778,24,-20,80,active
R200-G050-9778,power_relay_g050-9778,Standard power relay G050-9778,24,-20,70,active
R210-G050-9778,power_relay_g050-9778,Vibration-rated power relay G050-9778,24,-40,85,active
C300-G050-9778,connector_g050-9778,Five-volt keyed connector G050-9778,5,-20,70,active
X100-G051-DE0D,sensor_interface_g051-de0d,Field sensor interface G051-DE0D,24,-20,80,active
X110-G051-DE0D,sensor_interface_g051-de0d,Coated sensor interface G051-DE0D,24,-30,85,active
X120-G051-DE0D,sensor_interface_g051-de0d,Low-voltage sensor interface G051-DE0D,12,-20,70,active
X130-G051-DE0D,sensor_interface_g051-de0d,Indoor sensor interface G051-DE0D,24,0,60,active
X140-G051-DE0D,sensor_interface_g051-de0d,Extended-temperature interface G051-DE0D,24,-40,105,active
X150-G051-DE0D,sensor_interface_g051-de0d,High-voltage sensor interface G051-DE0D,48,-20,80,active
X160-G051-DE0D,sensor_interface_g051-de0d,Legacy sealed sensor interface G051-DE0D,24,-20,75,discontinued
X170-G051-DE0D,sensor_interface_g051-de0d,Logic-level sensor interface G051-DE0D,5,-10,50,active
X180-G051-DE0D,sensor_interface_g051-de0d,Standard sensor interface G051-DE0D,24,-20,80,active
R200-G051-DE0D,power_relay_g051-de0d,Standard power relay G051-DE0D,24,-20,70,active
R210-G051-DE0D,power_relay_g051-de0d,Vibration-rated power relay G051-DE0D,24,-40,85,active
C300-G051-DE0D,connector_g051-de0d,Five-volt keyed connector G051-DE0D,5,-20,70,active
X100-G052-B5C6,sensor_interface_g052-b5c6,Field sensor interface G052-B5C6,24,-20,80,active
X110-G052-B5C6,sensor_interface_g052-b5c6,Coated sensor interface G052-B5C6,24,-30,85,active
X120-G052-B5C6,sensor_interface_g052-b5c6,Low-voltage sensor interface G052-B5C6,12,-20,70,active
X130-G052-B5C6,sensor_interface_g052-b5c6,Indoor sensor interface G052-B5C6,24,0,60,active
X140-G052-B5C6,sensor_interface_g052-b5c6,Extended-temperature interface G052-B5C6,24,-40,105,active
X150-G052-B5C6,sensor_interface_g052-b5c6,High-voltage sensor interface G052-B5C6,48,-20,80,active
X160-G052-B5C6,sensor_interface_g052-b5c6,Legacy sealed sensor interface G052-B5C6,24,-20,75,discontinued
X170-G052-B5C6,sensor_interface_g052-b5c6,Logic-level sensor interface G052-B5C6,5,-10,50,active
X180-G052-B5C6,sensor_interface_g052-b5c6,Standard sensor interface G052-B5C6,24,-20,80,active
R200-G052-B5C6,power_relay_g052-b5c6,Standard power relay G052-B5C6,24,-20,70,active
R210-G052-B5C6,power_relay_g052-b5c6,Vibration-rated power relay G052-B5C6,24,-40,85,active
C300-G052-B5C6,connector_g052-b5c6,Five-volt keyed connector G052-B5C6,5,-20,70,active
X100-G053-21DC,sensor_interface_g053-21dc,Field sensor interface G053-21DC,24,-20,80,active
X110-G053-21DC,sensor_interface_g053-21dc,Coated sensor interface G053-21DC,24,-30,85,active
X120-G053-21DC,sensor_interface_g053-21dc,Low-voltage sensor interface G053-21DC,12,-20,70,active
X130-G053-21DC,sensor_interface_g053-21dc,Indoor sensor interface G053-21DC,24,0,60,active
X140-G053-21DC,sensor_interface_g053-21dc,Extended-temperature interface G053-21DC,24,-40,105,active
X150-G053-21DC,sensor_interface_g053-21dc,High-voltage sensor interface G053-21DC,48,-20,80,active
X160-G053-21DC,sensor_interface_g053-21dc,Legacy sealed sensor interface G053-21DC,24,-20,75,discontinued
X170-G053-21DC,sensor_interface_g053-21dc,Logic-level sensor interface G053-21DC,5,-10,50,active
X180-G053-21DC,sensor_interface_g053-21dc,Standard sensor interface G053-21DC,24,-20,80,active
R200-G053-21DC,power_relay_g053-21dc,Standard power relay G053-21DC,24,-20,70,active
R210-G053-21DC,power_relay_g053-21dc,Vibration-rated power relay G053-21DC,24,-40,85,active
C300-G053-21DC,connector_g053-21dc,Five-volt keyed connector G053-21DC,5,-20,70,active
X100-G054-8482,sensor_interface_g054-8482,Field sensor interface G054-8482,24,-20,80,active
X110-G054-8482,sensor_interface_g054-8482,Coated sensor interface G054-8482,24,-30,85,active
X120-G054-8482,sensor_interface_g054-8482,Low-voltage sensor interface G054-8482,12,-20,70,active
X130-G054-8482,sensor_interface_g054-8482,Indoor sensor interface G054-8482,24,0,60,active
X140-G054-8482,sensor_interface_g054-8482,Extended-temperature interface G054-8482,24,-40,105,active
X150-G054-8482,sensor_interface_g054-8482,High-voltage sensor interface G054-8482,48,-20,80,active
X160-G054-8482,sensor_interface_g054-8482,Legacy sealed sensor interface G054-8482,24,-20,75,discontinued
X170-G054-8482,sensor_interface_g054-8482,Logic-level sensor interface G054-8482,5,-10,50,active
X180-G054-8482,sensor_interface_g054-8482,Standard sensor interface G054-8482,24,-20,80,active
R200-G054-8482,power_relay_g054-8482,Standard power relay G054-8482,24,-20,70,active
R210-G054-8482,power_relay_g054-8482,Vibration-rated power relay G054-8482,24,-40,85,active
C300-G054-8482,connector_g054-8482,Five-volt keyed connector G054-8482,5,-20,70,active
X100-G055-25C1,sensor_interface_g055-25c1,Field sensor interface G055-25C1,24,-20,80,active
X110-G055-25C1,sensor_interface_g055-25c1,Coated sensor interface G055-25C1,24,-30,85,active
X120-G055-25C1,sensor_interface_g055-25c1,Low-voltage sensor interface G055-25C1,12,-20,70,active
X130-G055-25C1,sensor_interface_g055-25c1,Indoor sensor interface G055-25C1,24,0,60,active
X140-G055-25C1,sensor_interface_g055-25c1,Extended-temperature interface G055-25C1,24,-40,105,active
X150-G055-25C1,sensor_interface_g055-25c1,High-voltage sensor interface G055-25C1,48,-20,80,active
X160-G055-25C1,sensor_interface_g055-25c1,Legacy sealed sensor interface G055-25C1,24,-20,75,discontinued
X170-G055-25C1,sensor_interface_g055-25c1,Logic-level sensor interface G055-25C1,5,-10,50,active
X180-G055-25C1,sensor_interface_g055-25c1,Standard sensor interface G055-25C1,24,-20,80,active
R200-G055-25C1,power_relay_g055-25c1,Standard power relay G055-25C1,24,-20,70,active
R210-G055-25C1,power_relay_g055-25c1,Vibration-rated power relay G055-25C1,24,-40,85,active
C300-G055-25C1,connector_g055-25c1,Five-volt keyed connector G055-25C1,5,-20,70,active
X100-G056-5C18,sensor_interface_g056-5c18,Field sensor interface G056-5C18,24,-20,80,active
X110-G056-5C18,sensor_interface_g056-5c18,Coated sensor interface G056-5C18,24,-30,85,active
X120-G056-5C18,sensor_interface_g056-5c18,Low-voltage sensor interface G056-5C18,12,-20,70,active
X130-G056-5C18,sensor_interface_g056-5c18,Indoor sensor interface G056-5C18,24,0,60,active
X140-G056-5C18,sensor_interface_g056-5c18,Extended-temperature interface G056-5C18,24,-40,105,active
X150-G056-5C18,sensor_interface_g056-5c18,High-voltage sensor interface G056-5C18,48,-20,80,active
X160-G056-5C18,sensor_interface_g056-5c18,Legacy sealed sensor interface G056-5C18,24,-20,75,discontinued
X170-G056-5C18,sensor_interface_g056-5c18,Logic-level sensor interface G056-5C18,5,-10,50,active
X180-G056-5C18,sensor_interface_g056-5c18,Standard sensor interface G056-5C18,24,-20,80,active
R200-G056-5C18,power_relay_g056-5c18,Standard power relay G056-5C18,24,-20,70,active
R210-G056-5C18,power_relay_g056-5c18,Vibration-rated power relay G056-5C18,24,-40,85,active
C300-G056-5C18,connector_g056-5c18,Five-volt keyed connector G056-5C18,5,-20,70,active
X100-G057-8395,sensor_interface_g057-8395,Field sensor interface G057-8395,24,-20,80,active
X110-G057-8395,sensor_interface_g057-8395,Coated sensor interface G057-8395,24,-30,85,active
X120-G057-8395,sensor_interface_g057-8395,Low-voltage sensor interface G057-8395,12,-20,70,active
X130-G057-8395,sensor_interface_g057-8395,Indoor sensor interface G057-8395,24,0,60,active
X140-G057-8395,sensor_interface_g057-8395,Extended-temperature interface G057-8395,24,-40,105,active
X150-G057-8395,sensor_interface_g057-8395,High-voltage sensor interface G057-8395,48,-20,80,active
X160-G057-8395,sensor_interface_g057-8395,Legacy sealed sensor interface G057-8395,24,-20,75,discontinued
X170-G057-8395,sensor_interface_g057-8395,Logic-level sensor interface G057-8395,5,-10,50,active
X180-G057-8395,sensor_interface_g057-8395,Standard sensor interface G057-8395,24,-20,80,active
R200-G057-8395,power_relay_g057-8395,Standard power relay G057-8395,24,-20,70,active
R210-G057-8395,power_relay_g057-8395,Vibration-rated power relay G057-8395,24,-40,85,active
C300-G057-8395,connector_g057-8395,Five-volt keyed connector G057-8395,5,-20,70,active
X100-G058-E2B1,sensor_interface_g058-e2b1,Field sensor interface G058-E2B1,24,-20,80,active
X110-G058-E2B1,sensor_interface_g058-e2b1,Coated sensor interface G058-E2B1,24,-30,85,active
X120-G058-E2B1,sensor_interface_g058-e2b1,Low-voltage sensor interface G058-E2B1,12,-20,70,active
X130-G058-E2B1,sensor_interface_g058-e2b1,Indoor sensor interface G058-E2B1,24,0,60,active
X140-G058-E2B1,sensor_interface_g058-e2b1,Extended-temperature interface G058-E2B1,24,-40,105,active
X150-G058-E2B1,sensor_interface_g058-e2b1,High-voltage sensor interface G058-E2B1,48,-20,80,active
X160-G058-E2B1,sensor_interface_g058-e2b1,Legacy sealed sensor interface G058-E2B1,24,-20,75,discontinued
X170-G058-E2B1,sensor_interface_g058-e2b1,Logic-level sensor interface G058-E2B1,5,-10,50,active
X180-G058-E2B1,sensor_interface_g058-e2b1,Standard sensor interface G058-E2B1,24,-20,80,active
R200-G058-E2B1,power_relay_g058-e2b1,Standard power relay G058-E2B1,24,-20,70,active
R210-G058-E2B1,power_relay_g058-e2b1,Vibration-rated power relay G058-E2B1,24,-40,85,active
C300-G058-E2B1,connector_g058-e2b1,Five-volt keyed connector G058-E2B1,5,-20,70,active
X100-G059-F30A,sensor_interface_g059-f30a,Field sensor interface G059-F30A,24,-20,80,active
X110-G059-F30A,sensor_interface_g059-f30a,Coated sensor interface G059-F30A,24,-30,85,active
X120-G059-F30A,sensor_interface_g059-f30a,Low-voltage sensor interface G059-F30A,12,-20,70,active
X130-G059-F30A,sensor_interface_g059-f30a,Indoor sensor interface G059-F30A,24,0,60,active
X140-G059-F30A,sensor_interface_g059-f30a,Extended-temperature interface G059-F30A,24,-40,105,active
X150-G059-F30A,sensor_interface_g059-f30a,High-voltage sensor interface G059-F30A,48,-20,80,active
X160-G059-F30A,sensor_interface_g059-f30a,Legacy sealed sensor interface G059-F30A,24,-20,75,discontinued
X170-G059-F30A,sensor_interface_g059-f30a,Logic-level sensor interface G059-F30A,5,-10,50,active
X180-G059-F30A,sensor_interface_g059-f30a,Standard sensor interface G059-F30A,24,-20,80,active
R200-G059-F30A,power_relay_g059-f30a,Standard power relay G059-F30A,24,-20,70,active
R210-G059-F30A,power_relay_g059-f30a,Vibration-rated power relay G059-F30A,24,-40,85,active
C300-G059-F30A,connector_g059-f30a,Five-volt keyed connector G059-F30A,5,-20,70,active
X100-G060-1B62,sensor_interface_g060-1b62,Field sensor interface G060-1B62,24,-20,80,active
X110-G060-1B62,sensor_interface_g060-1b62,Coated sensor interface G060-1B62,24,-30,85,active
X120-G060-1B62,sensor_interface_g060-1b62,Low-voltage sensor interface G060-1B62,12,-20,70,active
X130-G060-1B62,sensor_interface_g060-1b62,Indoor sensor interface G060-1B62,24,0,60,active
X140-G060-1B62,sensor_interface_g060-1b62,Extended-temperature interface G060-1B62,24,-40,105,active
X150-G060-1B62,sensor_interface_g060-1b62,High-voltage sensor interface G060-1B62,48,-20,80,active
X160-G060-1B62,sensor_interface_g060-1b62,Legacy sealed sensor interface G060-1B62,24,-20,75,discontinued
X170-G060-1B62,sensor_interface_g060-1b62,Logic-level sensor interface G060-1B62,5,-10,50,active
X180-G060-1B62,sensor_interface_g060-1b62,Standard sensor interface G060-1B62,24,-20,80,active
R200-G060-1B62,power_relay_g060-1b62,Standard power relay G060-1B62,24,-20,70,active
R210-G060-1B62,power_relay_g060-1b62,Vibration-rated power relay G060-1B62,24,-40,85,active
C300-G060-1B62,connector_g060-1b62,Five-volt keyed connector G060-1B62,5,-20,70,active
X100-G061-3EAC,sensor_interface_g061-3eac,Field sensor interface G061-3EAC,24,-20,80,active
X110-G061-3EAC,sensor_interface_g061-3eac,Coated sensor interface G061-3EAC,24,-30,85,active
X120-G061-3EAC,sensor_interface_g061-3eac,Low-voltage sensor interface G061-3EAC,12,-20,70,active
X130-G061-3EAC,sensor_interface_g061-3eac,Indoor sensor interface G061-3EAC,24,0,60,active
X140-G061-3EAC,sensor_interface_g061-3eac,Extended-temperature interface G061-3EAC,24,-40,105,active
X150-G061-3EAC,sensor_interface_g061-3eac,High-voltage sensor interface G061-3EAC,48,-20,80,active
X160-G061-3EAC,sensor_interface_g061-3eac,Legacy sealed sensor interface G061-3EAC,24,-20,75,discontinued
X170-G061-3EAC,sensor_interface_g061-3eac,Logic-level sensor interface G061-3EAC,5,-10,50,active
X180-G061-3EAC,sensor_interface_g061-3eac,Standard sensor interface G061-3EAC,24,-20,80,active
R200-G061-3EAC,power_relay_g061-3eac,Standard power relay G061-3EAC,24,-20,70,active
R210-G061-3EAC,power_relay_g061-3eac,Vibration-rated power relay G061-3EAC,24,-40,85,active
C300-G061-3EAC,connector_g061-3eac,Five-volt keyed connector G061-3EAC,5,-20,70,active
X100-G062-06D9,sensor_interface_g062-06d9,Field sensor interface G062-06D9,24,-20,80,active
X110-G062-06D9,sensor_interface_g062-06d9,Coated sensor interface G062-06D9,24,-30,85,active
X120-G062-06D9,sensor_interface_g062-06d9,Low-voltage sensor interface G062-06D9,12,-20,70,active
X130-G062-06D9,sensor_interface_g062-06d9,Indoor sensor interface G062-06D9,24,0,60,active
X140-G062-06D9,sensor_interface_g062-06d9,Extended-temperature interface G062-06D9,24,-40,105,active
X150-G062-06D9,sensor_interface_g062-06d9,High-voltage sensor interface G062-06D9,48,-20,80,active
X160-G062-06D9,sensor_interface_g062-06d9,Legacy sealed sensor interface G062-06D9,24,-20,75,discontinued
X170-G062-06D9,sensor_interface_g062-06d9,Logic-level sensor interface G062-06D9,5,-10,50,active
X180-G062-06D9,sensor_interface_g062-06d9,Standard sensor interface G062-06D9,24,-20,80,active
R200-G062-06D9,power_relay_g062-06d9,Standard power relay G062-06D9,24,-20,70,active
R210-G062-06D9,power_relay_g062-06d9,Vibration-rated power relay G062-06D9,24,-40,85,active
C300-G062-06D9,connector_g062-06d9,Five-volt keyed connector G062-06D9,5,-20,70,active
X100-G063-9F23,sensor_interface_g063-9f23,Field sensor interface G063-9F23,24,-20,80,active
X110-G063-9F23,sensor_interface_g063-9f23,Coated sensor interface G063-9F23,24,-30,85,active
X120-G063-9F23,sensor_interface_g063-9f23,Low-voltage sensor interface G063-9F23,12,-20,70,active
X130-G063-9F23,sensor_interface_g063-9f23,Indoor sensor interface G063-9F23,24,0,60,active
X140-G063-9F23,sensor_interface_g063-9f23,Extended-temperature interface G063-9F23,24,-40,105,active
X150-G063-9F23,sensor_interface_g063-9f23,High-voltage sensor interface G063-9F23,48,-20,80,active
X160-G063-9F23,sensor_interface_g063-9f23,Legacy sealed sensor interface G063-9F23,24,-20,75,discontinued
X170-G063-9F23,sensor_interface_g063-9f23,Logic-level sensor interface G063-9F23,5,-10,50,active
X180-G063-9F23,sensor_interface_g063-9f23,Standard sensor interface G063-9F23,24,-20,80,active
R200-G063-9F23,power_relay_g063-9f23,Standard power relay G063-9F23,24,-20,70,active
R210-G063-9F23,power_relay_g063-9f23,Vibration-rated power relay G063-9F23,24,-40,85,active
C300-G063-9F23,connector_g063-9f23,Five-volt keyed connector G063-9F23,5,-20,70,active
X100-G064-220A,sensor_interface_g064-220a,Field sensor interface G064-220A,24,-20,80,active
X110-G064-220A,sensor_interface_g064-220a,Coated sensor interface G064-220A,24,-30,85,active
X120-G064-220A,sensor_interface_g064-220a,Low-voltage sensor interface G064-220A,12,-20,70,active
X130-G064-220A,sensor_interface_g064-220a,Indoor sensor interface G064-220A,24,0,60,active
X140-G064-220A,sensor_interface_g064-220a,Extended-temperature interface G064-220A,24,-40,105,active
X150-G064-220A,sensor_interface_g064-220a,High-voltage sensor interface G064-220A,48,-20,80,active
X160-G064-220A,sensor_interface_g064-220a,Legacy sealed sensor interface G064-220A,24,-20,75,discontinued
X170-G064-220A,sensor_interface_g064-220a,Logic-level sensor interface G064-220A,5,-10,50,active
X180-G064-220A,sensor_interface_g064-220a,Standard sensor interface G064-220A,24,-20,80,active
R200-G064-220A,power_relay_g064-220a,Standard power relay G064-220A,24,-20,70,active
R210-G064-220A,power_relay_g064-220a,Vibration-rated power relay G064-220A,24,-40,85,active
C300-G064-220A,connector_g064-220a,Five-volt keyed connector G064-220A,5,-20,70,active
X100-G065-9D46,sensor_interface_g065-9d46,Field sensor interface G065-9D46,24,-20,80,active
X110-G065-9D46,sensor_interface_g065-9d46,Coated sensor interface G065-9D46,24,-30,85,active
X120-G065-9D46,sensor_interface_g065-9d46,Low-voltage sensor interface G065-9D46,12,-20,70,active
X130-G065-9D46,sensor_interface_g065-9d46,Indoor sensor interface G065-9D46,24,0,60,active
X140-G065-9D46,sensor_interface_g065-9d46,Extended-temperature interface G065-9D46,24,-40,105,active
X150-G065-9D46,sensor_interface_g065-9d46,High-voltage sensor interface G065-9D46,48,-20,80,active
X160-G065-9D46,sensor_interface_g065-9d46,Legacy sealed sensor interface G065-9D46,24,-20,75,discontinued
X170-G065-9D46,sensor_interface_g065-9d46,Logic-level sensor interface G065-9D46,5,-10,50,active
X180-G065-9D46,sensor_interface_g065-9d46,Standard sensor interface G065-9D46,24,-20,80,active
R200-G065-9D46,power_relay_g065-9d46,Standard power relay G065-9D46,24,-20,70,active
R210-G065-9D46,power_relay_g065-9d46,Vibration-rated power relay G065-9D46,24,-40,85,active
C300-G065-9D46,connector_g065-9d46,Five-volt keyed connector G065-9D46,5,-20,70,active
X100-G066-D8C6,sensor_interface_g066-d8c6,Field sensor interface G066-D8C6,24,-20,80,active
X110-G066-D8C6,sensor_interface_g066-d8c6,Coated sensor interface G066-D8C6,24,-30,85,active
X120-G066-D8C6,sensor_interface_g066-d8c6,Low-voltage sensor interface G066-D8C6,12,-20,70,active
X130-G066-D8C6,sensor_interface_g066-d8c6,Indoor sensor interface G066-D8C6,24,0,60,active
X140-G066-D8C6,sensor_interface_g066-d8c6,Extended-temperature interface G066-D8C6,24,-40,105,active
X150-G066-D8C6,sensor_interface_g066-d8c6,High-voltage sensor interface G066-D8C6,48,-20,80,active
X160-G066-D8C6,sensor_interface_g066-d8c6,Legacy sealed sensor interface G066-D8C6,24,-20,75,discontinued
X170-G066-D8C6,sensor_interface_g066-d8c6,Logic-level sensor interface G066-D8C6,5,-10,50,active
X180-G066-D8C6,sensor_interface_g066-d8c6,Standard sensor interface G066-D8C6,24,-20,80,active
R200-G066-D8C6,power_relay_g066-d8c6,Standard power relay G066-D8C6,24,-20,70,active
R210-G066-D8C6,power_relay_g066-d8c6,Vibration-rated power relay G066-D8C6,24,-40,85,active
C300-G066-D8C6,connector_g066-d8c6,Five-volt keyed connector G066-D8C6,5,-20,70,active
X100-G067-C1D0,sensor_interface_g067-c1d0,Field sensor interface G067-C1D0,24,-20,80,active
X110-G067-C1D0,sensor_interface_g067-c1d0,Coated sensor interface G067-C1D0,24,-30,85,active
X120-G067-C1D0,sensor_interface_g067-c1d0,Low-voltage sensor interface G067-C1D0,12,-20,70,active
X130-G067-C1D0,sensor_interface_g067-c1d0,Indoor sensor interface G067-C1D0,24,0,60,active
X140-G067-C1D0,sensor_interface_g067-c1d0,Extended-temperature interface G067-C1D0,24,-40,105,active
X150-G067-C1D0,sensor_interface_g067-c1d0,High-voltage sensor interface G067-C1D0,48,-20,80,active
X160-G067-C1D0,sensor_interface_g067-c1d0,Legacy sealed sensor interface G067-C1D0,24,-20,75,discontinued
X170-G067-C1D0,sensor_interface_g067-c1d0,Logic-level sensor interface G067-C1D0,5,-10,50,active
X180-G067-C1D0,sensor_interface_g067-c1d0,Standard sensor interface G067-C1D0,24,-20,80,active
R200-G067-C1D0,power_relay_g067-c1d0,Standard power relay G067-C1D0,24,-20,70,active
R210-G067-C1D0,power_relay_g067-c1d0,Vibration-rated power relay G067-C1D0,24,-40,85,active
C300-G067-C1D0,connector_g067-c1d0,Five-volt keyed connector G067-C1D0,5,-20,70,active
X100-G068-0EDE,sensor_interface_g068-0ede,Field sensor interface G068-0EDE,24,-20,80,active
X110-G068-0EDE,sensor_interface_g068-0ede,Coated sensor interface G068-0EDE,24,-30,85,active
X120-G068-0EDE,sensor_interface_g068-0ede,Low-voltage sensor interface G068-0EDE,12,-20,70,active
X130-G068-0EDE,sensor_interface_g068-0ede,Indoor sensor interface G068-0EDE,24,0,60,active
X140-G068-0EDE,sensor_interface_g068-0ede,Extended-temperature interface G068-0EDE,24,-40,105,active
X150-G068-0EDE,sensor_interface_g068-0ede,High-voltage sensor interface G068-0EDE,48,-20,80,active
X160-G068-0EDE,sensor_interface_g068-0ede,Legacy sealed sensor interface G068-0EDE,24,-20,75,discontinued
X170-G068-0EDE,sensor_interface_g068-0ede,Logic-level sensor interface G068-0EDE,5,-10,50,active
X180-G068-0EDE,sensor_interface_g068-0ede,Standard sensor interface G068-0EDE,24,-20,80,active
R200-G068-0EDE,power_relay_g068-0ede,Standard power relay G068-0EDE,24,-20,70,active
R210-G068-0EDE,power_relay_g068-0ede,Vibration-rated power relay G068-0EDE,24,-40,85,active
C300-G068-0EDE,connector_g068-0ede,Five-volt keyed connector G068-0EDE,5,-20,70,active
X100-G069-49E3,sensor_interface_g069-49e3,Field sensor interface G069-49E3,24,-20,80,active
X110-G069-49E3,sensor_interface_g069-49e3,Coated sensor interface G069-49E3,24,-30,85,active
X120-G069-49E3,sensor_interface_g069-49e3,Low-voltage sensor interface G069-49E3,12,-20,70,active
X130-G069-49E3,sensor_interface_g069-49e3,Indoor sensor interface G069-49E3,24,0,60,active
X140-G069-49E3,sensor_interface_g069-49e3,Extended-temperature interface G069-49E3,24,-40,105,active
X150-G069-49E3,sensor_interface_g069-49e3,High-voltage sensor interface G069-49E3,48,-20,80,active
X160-G069-49E3,sensor_interface_g069-49e3,Legacy sealed sensor interface G069-49E3,24,-20,75,discontinued
X170-G069-49E3,sensor_interface_g069-49e3,Logic-level sensor interface G069-49E3,5,-10,50,active
X180-G069-49E3,sensor_interface_g069-49e3,Standard sensor interface G069-49E3,24,-20,80,active
R200-G069-49E3,power_relay_g069-49e3,Standard power relay G069-49E3,24,-20,70,active
R210-G069-49E3,power_relay_g069-49e3,Vibration-rated power relay G069-49E3,24,-40,85,active
C300-G069-49E3,connector_g069-49e3,Five-volt keyed connector G069-49E3,5,-20,70,active
X100-G070-7FAD,sensor_interface_g070-7fad,Field sensor interface G070-7FAD,24,-20,80,active
X110-G070-7FAD,sensor_interface_g070-7fad,Coated sensor interface G070-7FAD,24,-30,85,active
X120-G070-7FAD,sensor_interface_g070-7fad,Low-voltage sensor interface G070-7FAD,12,-20,70,active
X130-G070-7FAD,sensor_interface_g070-7fad,Indoor sensor interface G070-7FAD,24,0,60,active
X140-G070-7FAD,sensor_interface_g070-7fad,Extended-temperature interface G070-7FAD,24,-40,105,active
X150-G070-7FAD,sensor_interface_g070-7fad,High-voltage sensor interface G070-7FAD,48,-20,80,active
X160-G070-7FAD,sensor_interface_g070-7fad,Legacy sealed sensor interface G070-7FAD,24,-20,75,discontinued
X170-G070-7FAD,sensor_interface_g070-7fad,Logic-level sensor interface G070-7FAD,5,-10,50,active
X180-G070-7FAD,sensor_interface_g070-7fad,Standard sensor interface G070-7FAD,24,-20,80,active
R200-G070-7FAD,power_relay_g070-7fad,Standard power relay G070-7FAD,24,-20,70,active
R210-G070-7FAD,power_relay_g070-7fad,Vibration-rated power relay G070-7FAD,24,-40,85,active
C300-G070-7FAD,connector_g070-7fad,Five-volt keyed connector G070-7FAD,5,-20,70,active
X100-G071-D61A,sensor_interface_g071-d61a,Field sensor interface G071-D61A,24,-20,80,active
X110-G071-D61A,sensor_interface_g071-d61a,Coated sensor interface G071-D61A,24,-30,85,active
X120-G071-D61A,sensor_interface_g071-d61a,Low-voltage sensor interface G071-D61A,12,-20,70,active
X130-G071-D61A,sensor_interface_g071-d61a,Indoor sensor interface G071-D61A,24,0,60,active
X140-G071-D61A,sensor_interface_g071-d61a,Extended-temperature interface G071-D61A,24,-40,105,active
X150-G071-D61A,sensor_interface_g071-d61a,High-voltage sensor interface G071-D61A,48,-20,80,active
X160-G071-D61A,sensor_interface_g071-d61a,Legacy sealed sensor interface G071-D61A,24,-20,75,discontinued
X170-G071-D61A,sensor_interface_g071-d61a,Logic-level sensor interface G071-D61A,5,-10,50,active
X180-G071-D61A,sensor_interface_g071-d61a,Standard sensor interface G071-D61A,24,-20,80,active
R200-G071-D61A,power_relay_g071-d61a,Standard power relay G071-D61A,24,-20,70,active
